POSTED,PICKUP,TRUCK,DH-O,ORIGIN,DH-D,DESTINATION,TRIP,F/P,RATE,LENGTH,WEIGHT,COMPANY,CONTACT,FACTORING
 05/23 8:00pm , 5/23 , V , 19 ," Humble, TX", — ," Hutchins, TX", 220 , F , $850 , 53 ," 32,000 ", Foxconn Logistics Systems Llc , BrandonR@FoxconnLogistics.com , Available 
 05/23 8:00pm , 5/23 , VR , 0 ," Houston, TX", — ," Longview, TX", 211 , F ," $1,000 ", 53 ," 44,000 ", Archerhub , (303) 500-3109 , Available 
 05/23 8:00pm , 5/23 , VR , 0 ," Houston, TX", — ," Texarkana, TX", 294 , F ," $1,050 ", 53 ," 44,000 ", Archerhub , (303) 500-3109 , Available 
 05/23 8:00pm , 5/23 , VR , 0 ," Houston, TX", — ," Odessa, TX", 535 , F ," $1,350 ", 53 ," 44,000 ", Archerhub , (303) 500-3109 , Available 
 05/23 8:00pm , 5/23 , VR , 26 ," La Porte, TX", — ," Edwardsville, IL", 827 , F ," $2,400 ", 53 ," 43,500 ", U S Xpress Inc , (312) 660-2222 , Available 
 05/23 8:00pm , 5/23 , VR , 26 ," La Porte, TX", — ," Edwardsville, IL", 827 , F ," $2,400 ", 53 ," 43,500 ", U S Xpress Inc , (312) 660-2222 , Available 
 05/23 8:00pm , 5/23 , V , 0 ," Houston, TX", — ," Logan, OH"," 1,203 ", F , — , 53 ," 7,000 ", Total Quality Logistics Inc , (800) 580-3101 , Available 
 05/23 8:00pm , 5/23 , V , 26 ," La Porte, TX", — ," Ft Worth, TX", 294 , F , — , 53 ," 42,399 ", XPO Logistics LLC , jason.yan@xpo.com , Available 
 05/23 8:00pm , 5/23 , V , 0 ," Houston, TX", — ," El Paso, TX", 744 , F , — , 53 ," 42,000 ", Delta Logistics Llc , (828) 633-2780 , Available 
 05/23 8:00pm , 5/23 , VM , 162 ," Seguin, TX", — ," San Diego, CA"," 1,307 ", F , — , 53 ," 42,000 ", Delta Logistics Llc , (828) 633-2780 , Available 
 05/23 8:00pm , 5/23 , V , 162 ," Seguin, TX", — ," San Diego, CA"," 1,307 ", F , — , 53 ," 42,000 ", Delta Logistics Llc , (828) 633-2780 , Available 
 05/23 8:00pm , 5/23 , V , 177 ," Jacksonville, TX", — ," Dyersburg, TN", 497 , F ," $1,300 ", 53 ," 41,900 ", Keystone Transportation Quick Freight Rates , (724) 889-7026 , Available 
 05/23 8:00pm , 5/23 , V , 162 ," Seguin, TX", — ," Abilene, TX", 291 , F , — , 53 ," 44,990 ", Edge Logistics Llc , (312) 585-6941 , Available 
 05/23 8:00pm , 5/23 , VR , 16 ," Missouri City, TX", — ," Longview, TX", 226 , F , — , 53 ," 44,000 ", Edge Logistics Llc , (312) 319-4816 , Available 
